epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.579,0.71878,2.29591,1.14449,0.78454,0.70499,0.80125,0.67208,0.65619,1.15091,1.09921,0.00025588,0.00025588,0.00025588
2,377.194,0.67946,1.28668,1.09374,0.82264,0.75809,0.87027,0.74767,0.62576,0.97309,1.05927,0.000461504,0.000461504,0.000461504
3,555.418,0.66595,1.06344,1.08257,0.80958,0.75806,0.85828,0.74027,0.64881,1.06531,1.07947,0.000616374,0.000616374,0.000616374
4,731.511,0.63753,0.90651,1.0619,0.87309,0.79991,0.90302,0.7781,0.61625,0.77407,1.04386,0.000540607,0.000540607,0.000540607
5,906.812,0.60718,0.78022,1.04201,0.90268,0.84534,0.94124,0.83276,0.56758,0.64892,1.00153,0.000464476,0.000464476,0.000464476
6,1083.82,0.5789,0.69395,1.0251,0.90155,0.84707,0.93737,0.83772,0.54554,0.63998,0.99072,0.000388345,0.000388345,0.000388345
7,1260.53,0.55394,0.62197,1.00677,0.92434,0.86091,0.95127,0.8598,0.51373,0.55515,0.9722,0.000312214,0.000312214,0.000312214
8,1437.41,0.53191,0.55981,0.99435,0.92947,0.87976,0.95961,0.86798,0.50794,0.5118,0.95994,0.000236083,0.000236083,0.000236083
9,1613.24,0.51217,0.50912,0.98147,0.93938,0.8896,0.9641,0.8796,0.48803,0.47388,0.9455,0.000159952,0.000159952,0.000159952
10,1792.15,0.49263,0.46211,0.96704,0.9302,0.91035,0.96578,0.88705,0.46626,0.45672,0.92746,8.3821e-05,8.3821e-05,8.3821e-05
