epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.78,0.93,2.69805,1.28364,0.72641,0.62887,0.72796,0.60393,0.73538,1.47805,1.17568,0.000254528,0.000254528,0.000254528
2,414.103,0.81858,1.46392,1.16942,0.75395,0.70277,0.77831,0.64615,0.79279,1.36449,1.22228,0.000500746,0.000500746,0.000500746
3,608.997,0.81822,1.23248,1.15478,0.72038,0.72677,0.79393,0.66043,0.77113,1.30953,1.18109,0.000736814,0.000736814,0.000736814
4,797.546,0.79533,1.07467,1.13092,0.8112,0.75213,0.84889,0.6942,0.79175,1.16071,1.17523,0.000723321,0.000723321,0.000723321
5,987.682,0.78113,0.97613,1.12198,0.82357,0.78663,0.87916,0.75047,0.72742,1.03389,1.14359,0.000708095,0.000708095,0.000708095
6,1174.99,0.76408,0.91017,1.10991,0.85405,0.78336,0.89255,0.75952,0.71702,0.92535,1.11608,0.000692869,0.000692869,0.000692869
7,1364.84,0.75406,0.86135,1.10217,0.84689,0.79538,0.8974,0.7746,0.69082,0.85289,1.0958,0.000677643,0.000677643,0.000677643
8,1549.89,0.74187,0.82443,1.09445,0.86511,0.80277,0.91055,0.78209,0.68928,0.84651,1.10236,0.000662417,0.000662417,0.000662417
9,1740.28,0.73376,0.80443,1.0908,0.88256,0.85654,0.93088,0.81477,0.66294,0.72693,1.06758,0.00064719,0.00064719,0.00064719
10,1928.01,0.72375,0.78098,1.08402,0.89192,0.85714,0.93841,0.82235,0.64881,0.70316,1.06925,0.000631964,0.000631964,0.000631964
11,2117.32,0.7146,0.74609,1.08165,0.88305,0.82265,0.91277,0.80512,0.62589,0.81307,1.0396,0.000616738,0.000616738,0.000616738
12,2307.01,0.70984,0.73689,1.07739,0.88872,0.83765,0.91754,0.80889,0.6244,0.74277,1.04773,0.000601512,0.000601512,0.000601512
13,2499.99,0.69957,0.71827,1.07197,0.89961,0.84758,0.92701,0.82114,0.62043,0.72005,1.03956,0.000586286,0.000586286,0.000586286
14,2692.01,0.69474,0.69945,1.06685,0.90597,0.85971,0.94048,0.83499,0.61025,0.67145,1.02981,0.000571059,0.000571059,0.000571059
15,2877.96,0.6868,0.68369,1.06417,0.89461,0.8646,0.93958,0.8357,0.60716,0.65487,1.02914,0.000555833,0.000555833,0.000555833
16,3063.52,0.68022,0.67164,1.05969,0.89998,0.86878,0.94293,0.84523,0.58918,0.63742,1.01605,0.000540607,0.000540607,0.000540607
17,3248.97,0.6731,0.65705,1.05893,0.90108,0.89083,0.95165,0.85292,0.58151,0.59869,0.9995,0.000525381,0.000525381,0.000525381
18,3436.37,0.6771,0.65253,1.05818,0.91955,0.89165,0.95272,0.85937,0.56995,0.57453,0.9929,0.000510155,0.000510155,0.000510155
19,3623.72,0.66716,0.63869,1.05487,0.90421,0.8928,0.95143,0.85336,0.58812,0.61353,1.00361,0.000494928,0.000494928,0.000494928
20,3813.71,0.65791,0.62253,1.04974,0.89735,0.88125,0.93956,0.8387,0.58623,0.60287,1.00961,0.000479702,0.000479702,0.000479702
21,4000.69,0.65974,0.62649,1.04732,0.92228,0.87538,0.9482,0.86001,0.56505,0.58936,0.99529,0.000464476,0.000464476,0.000464476
22,4185.59,0.65229,0.61122,1.0464,0.91843,0.89935,0.95191,0.86093,0.55802,0.5555,0.99203,0.00044925,0.00044925,0.00044925
23,4374.1,0.65491,0.6112,1.04765,0.9224,0.90034,0.96112,0.86974,0.54913,0.53601,0.98044,0.000434024,0.000434024,0.000434024
24,4560.99,0.64604,0.59001,1.04176,0.93962,0.87955,0.95879,0.86934,0.56226,0.54195,0.99593,0.000418797,0.000418797,0.000418797
