epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.106,0.73525,2.27771,1.15143,0.75279,0.65574,0.77126,0.64438,0.71603,1.55945,1.1211,0.000255428,0.000255428,0.000255428
2,346.989,0.67067,1.22874,1.07706,0.82984,0.75089,0.87055,0.74928,0.67136,1.03774,1.07639,0.000461097,0.000461097,0.000461097
3,518.14,0.64895,1.00946,1.06057,0.81853,0.7549,0.8656,0.7329,0.7177,1.09029,1.11532,0.000616012,0.000616012,0.000616012
4,686.994,0.63335,0.87537,1.05079,0.88735,0.82459,0.91033,0.79269,0.66039,0.80363,1.06843,0.000540607,0.000540607,0.000540607
5,855.837,0.60467,0.76283,1.03287,0.85503,0.82509,0.91103,0.8019,0.61798,0.81053,1.0324,0.000464476,0.000464476,0.000464476
6,1023.52,0.57248,0.6758,1.01331,0.88021,0.84164,0.9319,0.8342,0.57461,0.67756,1.00138,0.000388345,0.000388345,0.000388345
7,1186.46,0.54608,0.60531,0.99775,0.89928,0.86403,0.93947,0.84705,0.55631,0.67977,0.98874,0.000312214,0.000312214,0.000312214
8,1346.92,0.52856,0.55678,0.98815,0.91241,0.87525,0.95056,0.86261,0.54134,0.60379,0.9697,0.000236083,0.000236083,0.000236083
9,1507.05,0.50869,0.5097,0.97266,0.91678,0.88089,0.95789,0.87413,0.52172,0.55811,0.9581,0.000159952,0.000159952,0.000159952
10,1666.59,0.48603,0.46527,0.95917,0.9342,0.89192,0.96528,0.88608,0.50262,0.49836,0.94203,8.3821e-05,8.3821e-05,8.3821e-05
